X,Y,Full Name,City,State,Zip Code,County,Manually adjusted?
-93.097702,41.8780025,"Iowa, IA",Iowa,IA,50047,WARREN,1
-95.4572034,37.6792135,"Chanute, KS",Chanute,KS,66720,NEOSHO,0
-94.6267873,39.1155314,"Kansas City, KS",Kansas City,KS,66101,WYANDOTTE,0
-94.7335709,38.9536174,"Lenexa, KS",Lenexa,KS,66215,JOHNSON,0
-98.0836679,38.1472334,"Nickerson, KS",Nickerson,KS,67561,RENO,0
-84.6052206,38.7828437,"Crittenden, KY",Crittenden,KY,41030,GRANT,0
-91.1313095,30.7905788,"Ethel, LA",Ethel,LA,70730,EAST FELICIANA,0
-92.0198427,30.2240897,"Lafayette, LA",Lafayette,LA,70501,LAFAYETTE,0
-70.7525299,41.697719,"Marion, MA",Marion,MA,2738,PLYMOUTH,0
-68.7712257,44.8016128,"Bangor, ME",Bangor,ME,4401,PENOBSCOT,0
-85.4836557,43.6980782,"Big Rapids, MI",Big Rapids,MI,49307,MECOSTA,0
-88.4262689,47.2718408,"Calumet Township, MI",Calumet Township,MI,49913,HOUGHTON,1
-83.7730237,42.9958862,"Flint Township, MI",Flint Township,MI,48507,GENESEE,1
-87.4393166,46.5436199,"Marquette, MI",Marquette,MI,49855,MARQUETTE,0
-95.7911916,44.448423,"Marshall, MN",Marshall,MN,56258,LYON,0
-93.2830021,44.8832982,"Richfield, MN",Richfield,MN,55423,HENNEPIN,1
-93.5524358,39.7952946,"Chillicothe, MO",Chillicothe,MO,64601,LIVINGSTON,0
-92.8410274,38.4314141,"Versailles, MO",Versailles,MO,65084,MORGAN,0
-92.2007227,37.8286516,"Waynesville, MO",Waynesville,MO,65583,PULASKI,0
-89.3985283,32.3546679,"Unknown City, MS",Unknown City,MS,39056,HINDS,1
-111.0429339,45.6769979,"Bozeman, MT",Bozeman,MT,59715,GALLATIN,0
-112.3261618,48.6330395,"Cut Bank, MT",Cut Bank,MT,59427,GLACIER,0
-113.4845229,47.1793799,"Seeley Lake, MT",Seeley Lake,MT,59868,MISSOULA,0
-114.3352652,48.4106373,"Whitefish, MT",Whitefish,MT,59937,FLATHEAD,0
-82.5012316,35.4306712,"Fletcher, NC",Fletcher,NC,28732,HENDERSON,0
-78.9453056,34.9704419,"Hope Mills, NC",Hope Mills,NC,28348,CUMBERLAND,0
-77.5816353,35.2626635,"Kinston, NC",Kinston,NC,28501,LENOIR,0
-84.0346315,35.0875836,"Murphy, NC",Murphy,NC,28906,CHEROKEE,0
-95.9345034,41.2565369,"Omaha, NE",Omaha,NE,68101,DOUGLAS,0
-105.960265,32.8995325,"Alamogordo, NM",Alamogordo,NM,88310,OTERO,0
-103.2052272,34.4047987,"Clovis, NM",Clovis,NM,88101,CURRY,0
-105.937799,35.6869752,"Santa Fe, NM",Santa Fe,NM,87501,SANTA FE,0
-96.499233,45.8044052,"Wheaton, NM",Wheaton,NM,87734,MORA,1
-117.0672356,39.4925701,"Austin, NV",Austin,NV,89310,LANDER,0
-119.7674034,39.1637984,"Carson City, NV",Carson City,NV,89701,CARSON CITY,0
-118.7770407,39.4748693,"Fallon, NV",Fallon,NV,89406,CHURCHILL,0
-119.7496216,38.9412959,"Gardnerville, NV",Gardnerville,NV,89410,DOUGLAS,0
-114.9817213,36.0395247,"Henderson, NV",Henderson,NV,89011,CLARK,1
-115.1398296,36.1699412,"Las Vegas, NV",Las Vegas,NV,89101,CLARK,0
-119.8138027,39.5296329,"Reno, NV",Reno,NV,89501,WASHOE,0
-119.8771391,39.6579647,"Reno-Stead, NV",Reno-Stead,NV,89506,WASHOE,1
-119.7526886,39.5349112,"Sparks, NV",Sparks,NV,89431,WASHOE,0
-119.7760234,39.5962993,"Sun Valley, NV",Sun Valley,NV,89433,WASHOE,0
-118.1206953,40.4454634,"Unionville, NV",Unionville,NV,89418,PERSHING,1
-119.1629309,38.9857508,"Yerington, NV",Yerington,NV,89447,LYON,0
-81.5190053,41.0814447,"Akron, OH",Akron,OH,44301,SUMMIT,0
-81.6943605,41.49932,"Cleveland, OH",Cleveland,OH,44101,CUYAHOGA,0
-82.9987942,39.9611755,"Columbus, OH",Columbus,OH,43085,FRANKLIN,0
-81.6379033,41.3686645,"Independence, OH",Independence,OH,44131,CUYAHOGA,0
-97.8783911,36.3955891,"Enid, OK",Enid,OK,73701,GARFIELD,0
-97.3967019,35.4495065,"Midwest City, OK",Midwest City,OK,73199,OKLAHOMA,1
